"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
"United Parcel Service, Inc.",null,103.010002,96.230003,93.199997,96.550003,105.470001,105.070000,103.089996,107.720001,108.099998,109.220001,109.360001,107.760002,115.919998,114.639999,109.129997,105.760002,107.300003,107.459999,105.970001,110.589996,110.290001,114.360001,120.089996,118.089996,117.529999
"American International Group, I",null,63.580002,61.970001,56.480000,50.200001,54.049999,55.820000,57.880001,52.889999,54.439999,59.830002,59.340000,61.700001,63.330002,65.309998,64.260002,63.919998,62.430000,60.910000,63.630001,62.520000,65.449997,60.480000,61.389999,64.779999,64.610001
"Prudential Financial, Inc.",null,86.550003,81.410004,70.080002,66.089996,72.220001,77.639999,79.250000,71.339996,75.290001,79.379997,81.650002,84.790001,100.599998,104.059998,105.110001,110.540001,106.680000,107.029999,104.849998,108.139999,113.230003,102.080002,106.320000,111.599998,110.459999
Intel Corporation,null,34.770000,34.450001,31.020000,29.590000,32.349998,30.280001,31.590000,32.799999,34.860001,35.889999,37.750000,34.869999,34.700001,36.270000,36.820000,36.200001,36.070000,36.150002,36.110001,33.740002,35.470001,35.070000,38.080002,44.369999,45.490002
Humana Inc.,null,168.660004,178.509995,162.789993,176.970001,182.949997,177.070007,172.509995,179.880005,172.550003,178.710007,176.889999,171.529999,212.639999,204.029999,198.500000,211.250000,206.139999,221.979996,232.259995,240.619995,231.199997,257.619995,243.630005,255.660004,255.350006
Walt Disney Company (The),null,113.470001,105.080002,95.820000,95.519997,99.309998,103.260002,99.220001,97.820000,95.949997,94.459999,92.860001,92.690002,99.120003,104.220001,110.650002,110.089996,113.389999,115.599998,107.940002,106.250000,109.930000,101.199997,98.570000,98.040001,97.809998
"Cisco Systems, Inc.",null,27.250000,27.160000,23.790001,26.180000,28.469999,27.490000,29.049999,28.690001,30.530001,31.440001,31.719999,30.680000,29.820000,30.219999,30.719999,34.180000,33.799999,34.070000,31.530001,31.299999,31.450001,32.209999,33.630001,34.040001,34.150002
"Pfizer, Inc.",null,32.770000,32.279999,30.490000,29.670000,29.639999,32.709999,34.700001,35.209999,36.889999,34.799999,33.869999,31.709999,32.139999,31.700001,31.730000,34.119999,34.209999,33.919998,32.650002,33.590000,33.160000,33.919998,35.700001,35.150002,35.060001
Dow Chemical Company (The),null,884.880005,5.650000,42.000000,888.989990,894.109985,51.650002,960.820007,50.000000,53.669998,51.099998,5.650000,53.810001,5.650000,5.650000,59.630001,5.650000,63.540001,62.799999,61.959999,63.750000,64.239998,1174.000000,1174.000000,5.650000,66.650002
Sysco Corporation,null,41.099998,41.000000,39.810001,44.130001,46.730000,46.070000,48.110001,50.740002,51.790001,51.860001,49.009998,48.119999,53.250000,55.369999,52.459999,52.720001,51.919998,52.869999,54.560001,50.330002,52.619999,52.669998,53.950001,54.689999,55.619999
FedEx Corporation,null,158.539993,148.990005,132.880005,136.880005,162.720001,165.110001,164.970001,151.779999,161.899994,164.929993,174.679993,174.320007,191.669998,186.199997,189.110001,192.979996,195.149994,189.699997,193.839996,217.330002,208.029999,214.380005,225.580002,227.720001,225.809998
"Caterpillar, Inc.",null,72.650002,67.959999,62.240002,67.699997,76.540001,77.720001,72.510002,75.809998,82.760002,81.949997,88.769997,83.459999,95.559998,92.739998,95.660004,96.660004,92.760002,102.260002,105.430000,107.459999,113.949997,117.489998,124.709999,136.490005,135.800003
Lockheed Martin Corporation,null,219.160004,217.149994,211.000000,215.789993,221.500000,232.380005,236.229996,248.169998,252.729996,242.970001,239.720001,246.380005,265.250000,249.940002,251.330002,266.579987,267.600006,269.450012,281.130005,277.609985,292.130005,305.390015,310.290009,308.630005,308.160004
Coca-Cola Company (The),null,42.619999,42.959999,42.919998,43.130001,46.389999,44.799999,44.599998,45.330002,43.630001,43.430000,42.320000,42.400002,40.349998,42.000000,41.570000,41.959999,42.439999,43.150002,45.470001,44.849998,45.840000,45.549999,45.009998,45.860001,45.980000
"HCA Healthcare, Inc.",null,68.059998,67.629997,69.580002,69.209999,78.050003,80.620003,78.019997,77.010002,77.129997,75.550003,75.629997,76.529999,70.889999,74.019997,80.279999,87.239998,88.989998,84.209999,81.910004,87.199997,80.339996,78.660004,79.589996,76.180000,75.650002
